,name,rating,department,feedback,school
0,Dorothy Goldsborough,QUALITY2.617 ratings,Sociology,N/A,University of Hawaii at Manoa
1,Adele Casaschi,QUALITY3.921 ratings,Chemistry,N/A,University of Hawaii at Manoa
2,Krishna Lamichhane,QUALITY4.32 ratings,Engineering,N/A,University of Hawaii at Manoa
3,Curtis Ikehara,QUALITY4.76 ratings,Computer Science,N/A,University of Hawaii at Manoa
4,Jan Huston,QUALITY2.04 ratings,Political Science,N/A,University of Hawaii at Manoa
5,Charlie Weems,QUALITY3.53 ratings,Science,N/A,University of Hawaii at Manoa
6,Karen Drozd,QUALITY5.02 ratings,Music,N/A,University of Hawaii at Manoa
7,Nola Nahulu,QUALITY4.83 ratings,Music,N/A,University of Hawaii at Manoa
8,Alan Teramura,QUALITY3.640 ratings,Biology,N/A,University of Hawaii at Manoa
9,Coop Derenne,QUALITY1.94 ratings,Kinesiology,N/A,University of Hawaii at Manoa
10,Xin Zhao,QUALITY1.913 ratings,Marketing,N/A,University of Hawaii at Manoa
11,Kiriko Takahashi,QUALITY2.01 ratings,American Studies,N/A,University of Hawaii at Manoa
12,Allan Millett,QUALITY4.82 ratings,History,N/A,University of Hawaii at Manoa
13,John Dowling,QUALITY3.52 ratings,Economics,N/A,University of Hawaii at Manoa
14,John Engel,QUALITY3.82 ratings,Family Studies,N/A,University of Hawaii at Manoa
15,Mei Xu,QUALITY2.82 ratings,East Asian Lang. & Literature,N/A,University of Hawaii at Manoa
16,Tep Dobry,QUALITY3.949 ratings,Engineering,88%,University of Hawaii at Manoa
17,Katja Michael,QUALITY2.210 ratings,Chemistry,100%,University of Hawaii at Manoa
18,Erik Guentner,QUALITY3.430 ratings,Mathematics,100%,University of Hawaii at Manoa
19,Marvin Ortel,QUALITY2.955 ratings,Mathematics,N/A,University of Hawaii at Manoa
20,Stuart Henley,QUALITY2.98 ratings,Fine Arts,N/A,University of Hawaii at Manoa
21,Gerald Kato,QUALITY2.337 ratings,Journalism,0%,University of Hawaii at Manoa
22,Gerry Russo,QUALITY3.537 ratings,Economics,N/A,University of Hawaii at Manoa
23,Jan Stelovsky,QUALITY1.823 ratings,Computer Science,0%,University of Hawaii at Manoa
24,James Siu,QUALITY2.461 ratings,Mathematics,N/A,University of Hawaii at Manoa
25,Glenn Cannon,QUALITY2.325 ratings,Theater,N/A,University of Hawaii at Manoa
26,Thomas Yee,QUALITY4.219 ratings,Music,N/A,University of Hawaii at Manoa
27,Heather Young-Leslie,QUALITY4.113 ratings,Anthropology,N/A,University of Hawaii at Manoa
28,Andrea Labarge,QUALITY3.26 ratings,Business,0%,University of Hawaii at Manoa
29,Kathryn Hoffmann,QUALITY4.335 ratings,European Studies,100%,University of Hawaii at Manoa
