,name,rating,department,feedback,school
0,Dorothy Goldsborough,2.6,Sociology,,University of Hawaii at Manoa
1,Adele Casaschi,3.9,Chemistry,,University of Hawaii at Manoa
2,Krishna Lamichhane,4.3,Engineering,,University of Hawaii at Manoa
3,Curtis Ikehara,4.7,Computer Science,,University of Hawaii at Manoa
4,Jan Huston,2.0,Political Science,,University of Hawaii at Manoa
5,Charlie Weems,3.5,Science,,University of Hawaii at Manoa
6,Karen Drozd,5.0,Music,,University of Hawaii at Manoa
7,Nola Nahulu,4.8,Music,,University of Hawaii at Manoa
8,Alan Teramura,3.6,Biology,,University of Hawaii at Manoa
9,Coop Derenne,1.9,Kinesiology,,University of Hawaii at Manoa
10,Xin Zhao,1.9,Marketing,,University of Hawaii at Manoa
11,Kiriko Takahashi,2.0,American Studies,,University of Hawaii at Manoa
12,Allan Millett,4.8,History,,University of Hawaii at Manoa
13,John Dowling,3.5,Economics,,University of Hawaii at Manoa
14,John Engel,3.8,Family Studies,,University of Hawaii at Manoa
15,Mei Xu,2.8,East Asian Lang. & Literature,,University of Hawaii at Manoa
16,Tep Dobry,3.9,Engineering,88%,University of Hawaii at Manoa
17,Katja Michael,2.2,Chemistry,100%,University of Hawaii at Manoa
18,Erik Guentner,3.4,Mathematics,100%,University of Hawaii at Manoa
19,Marvin Ortel,2.9,Mathematics,,University of Hawaii at Manoa
20,Stuart Henley,2.9,Fine Arts,,University of Hawaii at Manoa
21,Gerald Kato,2.3,Journalism,0%,University of Hawaii at Manoa
22,Gerry Russo,3.5,Economics,,University of Hawaii at Manoa
23,Jan Stelovsky,1.8,Computer Science,0%,University of Hawaii at Manoa
24,James Siu,2.4,Mathematics,,University of Hawaii at Manoa
25,Glenn Cannon,2.3,Theater,,University of Hawaii at Manoa
26,Thomas Yee,4.2,Music,,University of Hawaii at Manoa
27,Heather Young-Leslie,4.1,Anthropology,,University of Hawaii at Manoa
28,Andrea Labarge,3.2,Business,0%,University of Hawaii at Manoa
29,Kathryn Hoffmann,4.3,European Studies,100%,University of Hawaii at Manoa
30,Catherine Toth,5.0,Journalism,,University of Hawaii at Manoa
31,Rob Vaughan,4.9,Social Science,,University of Hawaii at Manoa
32,Jack Bilmes,3.5,Anthropology,100%,University of Hawaii at Manoa
